payload,key_true,fiber_size,candidate_keys
Switzerland is expensive.,Write about baking bread.,1,"[""Write about baking bread.""]"
The meeting starts after lunch.,xrite about baking bread.,1,"[""xrite about baking bread.""]"
The current policy has failed.,Write about baking,1,"[""Write about baking""]"
A quiet river crossed the valley.,Write about baking bread.s,1,"[""Write about baking bread.s""]"
The lab notebook was hidden in the cabinet.,Write about baking bread!,1,"[""Write about baking bread!""]"
A small bird landed near the window.,Write about baking bread?,1,"[""Write about baking bread?""]"
The archive contains several old records.,Write about baking bread today.,1,"[""Write about baking bread today.""]"
The device stopped working after midnight.,Write about baking bread briefly.,1,"[""Write about baking bread briefly.""]"
The old train station was closed.,Write about baking bread in one paragraph.,1,"[""Write about baking bread in one paragraph.""]"
A wooden box was placed under the desk.,Describe a quiet mountain village.,1,"[""Describe a quiet mountain village.""]"
The report was delayed until morning.,xescribe a quiet mountain village.,1,"[""xescribe a quiet mountain village.""]"
Several people waited near the market.,Describe a quiet mountain,1,"[""Describe a quiet mountain""]"
The garden tools were left outside.,Describe a quiet mountain villages.,1,"[""Describe a quiet mountain villages.""]"
The city council approved the plan.,Describe a quiet mountain village!,1,"[""Describe a quiet mountain village!""]"
The weather changed before sunset.,Describe a quiet mountain village?,1,"[""Describe a quiet mountain village?""]"
A narrow road followed the river.,Describe a quiet mountain village today.,1,"[""Describe a quiet mountain village today.""]"
