table_file,experiment,description,paper_claim_supported
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/payloads.csv,Section 4,Default payload set and token lengths.,Defines tested payload distribution.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/keys.csv,Section 4,Default key set and context token lengths.,Defines tested key distribution.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment1_correctness.csv,Experiment 1,Round-trip status for each payload-key pair.,Exact invertibility implementation check.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment2_rank_likelihood_detection.csv,Experiment 2,Rank-likelihood and detector features for CARTS and ordinary greedy comparison text.,Rank pressure and simple detectability under Q_k.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment3_key_collision_fibers.csv,Experiment 3,Candidate fiber size and true-key containment for each transcript.,Finite key-collision fibers.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment3_largest_fibers.csv,Experiment 3,Largest observed candidate fibers.,Finite key-collision examples.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment3_search_cost.csv,Experiment 3,Finite key search cost in F evaluations per transcript.,Finite context-search cost.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment4_collision_stability.csv,Experiment 4,Collision stability and divergence across new payload rank vectors.,Multi-payload collision stability under finite K_adm.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment4_candidate_shrinkage.csv,Experiment 4,Candidate set size after accumulating transcripts.,Multi-transcript ambiguity under finite K_adm.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment5_noncommutativity.csv,Experiment 5,Sampled commutation rates and distances for key-induced maps.,Non-commutativity of F_k maps.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment5_Nk_tau_curve.csv,Experiment 5,Average number of highly commuting keys by metric threshold.,Related-instance commutation structure.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/experiment6_robustness.csv,Experiment 6,Decoded errors after length-preserving stegotext token perturbations.,Perturbation brittleness of base CARTS.
/home/meow/Documents/repos/LlmStenoExplore/paper-empirical-explorations/results/tables/paper_verification_checklist.csv,Final checklist,Theory-claim verification checklist for the paper.,Maps empirical outputs to paper claims.
